123,3,71,3
7,25,79,3
95,16,23,3
2,19,2,4
7,25,71,3
119,6,101,3
115,33,109,3
7,37,2,3
58,8,2,4
65,2,79,3
65,2,11,3
83,1,61,3
14,27,3,3
119,13,109,3
67,0,107,3
123,3,89,3
95,16,2,3
7,25,67,3
101,18,71,3
123,3,17,3
11,22,19,3
109,26,97,3
7,37,3,3
5,39,19,3
29,8,71,3
95,7,97,3
67,0,59,3
95,16,7,3
58,38,109,3
67,0,79,3
6,21,43,3
97,32,5,3
115,33,59,3
29,8,37,3
55,35,109,3
97,32,53,3
97,32,11,3
115,33,31,3
7,37,71,3
123,3,67,3
95,12,5,4
119,13,83,3
109,26,11,3
14,27,107,3
6,21,17,3
119,4,107,3
67,0,113,3
65,2,83,3
95,16,41,3
97,32,43,3
115,33,13,3
109,26,67,3
7,25,7,4
119,4,109,3
14,27,2,4
119,31,7,4
95,23,43,3
5,39,5,4
119,6,23,3
58,38,47,3
7,37,109,3
114,17,59,3
17,31,79,3
6,5,17,3
109,26,13,3
11,22,7,3
67,0,37,3
115,24,107,3
1,19,47,3
6,21,73,3
65,2,107,3
119,13,41,3
17,31,61,3
38,28,113,3
119,13,11,3
26,9,67,3
1,25,7,4
97,32,13,3
101,29,113,3
58,38,2,4
101,18,53,3
6,20,61,3
95,16,29,3
109,26,101,3
26,9,47,3
38,28,109,3
119,13,103,3
65,2,59,3
101,29,103,3
119,4,43,3
58,11,5,3
26,9,73,3
26,10,31,3
65,2,43,3
97,32,73,3
101,18,41,3
95,30,109,3
29,8,7,3
115,33,5,4
101,29,11,3
114,17,11,3
95,7,3,3
6,21,7,3
26,10,47,3
110,34,2,4
6,20,3,4
19,12,73,3
119,6,19,3
55,34,67,3
29,8,31,3
7,37,47,3
6,15,113,3
55,34,61,3
95,36,71,3
97,14,103,3
115,24,109,3
119,6,13,3
65,2,113,3
11,22,37,3
1,39,31,3
95,30,17,3
65,2,37,3
58,11,113,3
26,10,67,3
83,1,109,3
83,1,43,3
19,12,11,3
1,25,19,3
7,37,101,3
29,8,79,3
7,27,101,3
67,0,23,3
58,11,79,3
119,4,37,3
1,25,11,3
95,30,31,3
1,19,2,4
6,15,17,3
